Date,Symbol,Series,Prev Close,Open,High,Low,Last,Close,VWAP,Volume,Turnover,Trades,Deliverable Volume,%Deliverble
2012-12-28,INFRATEL,EQ,220.0,200.0,200.85,188.65,191.0,191.65,194.06,35351056,686009974700000.0,210800,12889842,0.36460000000000004
2012-12-31,INFRATEL,EQ,191.65,191.85,195.5,188.25,193.65,193.7,193.51,6021827,116525629409999.98,49322,2405884,0.3995
2013-01-01,INFRATEL,EQ,193.7,194.7,199.8,194.0,197.65,197.75,197.64,2619486,51771639640000.0,20341,463798,0.1771
2013-01-02,INFRATEL,EQ,197.75,198.3,204.35,197.0,202.2,201.5,200.96,5470399,109930966990000.02,48231,1864671,0.34090000000000004
2013-01-03,INFRATEL,EQ,201.5,200.0,206.5,200.0,204.7,204.35,204.11,3626134,74011411145000.0,46634,1996559,0.5506000000000001
2013-01-04,INFRATEL,EQ,204.35,205.0,210.0,202.35,207.0,207.15,207.22,4188477,86792786025000.0,44753,2676489,0.639
2013-01-07,INFRATEL,EQ,207.15,207.85,209.0,206.1,207.0,207.4,207.99,2632614,54755197304999.99,56183,1713868,0.6509999999999999
2013-01-08,INFRATEL,EQ,207.4,207.55,211.05,201.7,203.2,202.95,206.18,1310534,27020514200000.0,20400,567152,0.4328
2013-01-09,INFRATEL,EQ,202.95,204.25,207.9,203.3,204.95,205.05,205.71,1316038,27072465964999.996,11772,772604,0.5871000000000001
2013-01-10,INFRATEL,EQ,205.05,205.0,207.0,203.0,205.0,205.1,204.98,1061770,21764014065000.0,10621,788799,0.7429000000000001
2013-01-11,INFRATEL,EQ,205.1,204.4,206.8,203.6,205.0,205.45,205.04,560597,11494356750000.0,8898,393312,0.7016
2013-01-14,INFRATEL,EQ,205.45,205.2,208.25,202.9,208.0,207.8,206.23,440016,9074358355000.0,7974,296760,0.6744
2013-01-15,INFRATEL,EQ,207.8,207.95,208.65,204.0,205.9,205.25,206.0,308822,6361727655000.0,5387,141542,0.4583
2013-01-16,INFRATEL,EQ,205.25,205.85,210.0,202.5,206.65,204.4,206.26,522978,10787117655000.0,6866,233053,0.44560000000000005
2013-01-17,INFRATEL,EQ,204.4,206.6,207.7,204.2,205.0,204.95,205.92,1583997,32618162289999.996,15109,1334349,0.8423999999999999
2013-01-18,INFRATEL,EQ,204.95,206.35,206.65,204.1,205.5,205.0,205.12,1219799,25020644870000.0,8116,1102809,0.9041
2013-01-21,INFRATEL,EQ,205.0,206.85,207.5,204.5,205.0,205.05,205.02,599417,12289051375000.0,4238,563492,0.9401
2013-01-22,INFRATEL,EQ,205.05,205.1,206.35,204.15,205.05,205.05,205.03,645165,13227808205000.0,4663,599187,0.9287000000000001
2013-01-23,INFRATEL,EQ,205.05,205.0,205.15,203.15,204.05,204.6,204.79,632500,12952855775000.0,8840,588493,0.9304000000000001
2013-01-24,INFRATEL,EQ,204.6,204.65,210.4,204.55,205.25,206.1,205.51,1658900,34091256970000.0,7439,1423642,0.8582
2013-01-25,INFRATEL,EQ,206.1,206.95,209.5,204.65,209.5,208.3,205.92,446416,9192382825000.0,8688,356043,0.7976000000000001
2013-01-28,INFRATEL,EQ,208.3,209.0,211.5,208.0,209.8,210.3,209.8,619340,12994054720000.0,8868,502997,0.8122
2013-01-29,INFRATEL,EQ,210.3,210.65,216.0,210.0,212.9,212.15,213.28,1297700,27677370375000.0,14975,986290,0.76
2013-01-30,INFRATEL,EQ,212.15,215.0,215.0,208.1,209.85,209.95,209.87,1254754,26333422140000.0,8298,1135593,0.905
2013-01-31,INFRATEL,EQ,209.95,209.85,211.25,201.0,202.25,204.25,206.28,477136,9842571610000.0,9503,236678,0.49600000000000005
2013-02-01,INFRATEL,EQ,204.25,202.25,210.9,202.25,206.5,206.0,206.1,535714,11041054220000.0,30294,435291,0.8125
2013-02-04,INFRATEL,EQ,206.0,208.75,211.0,206.35,209.9,209.95,209.71,972954,20403364085000.0,13968,793933,0.816
2013-02-05,INFRATEL,EQ,209.95,208.9,211.9,207.45,210.0,209.85,210.05,310499,6522165590000.0,8694,242416,0.7807
2013-02-06,INFRATEL,EQ,209.85,210.25,211.5,209.25,209.95,210.0,210.07,1068489,22445692595000.0,8990,1003753,0.9394
2013-02-07,INFRATEL,EQ,210.0,210.85,210.85,207.0,207.95,207.55,208.23,55628,1158359320000.0,2716,30354,0.5457
2013-02-08,INFRATEL,EQ,207.55,207.95,208.75,204.45,205.85,206.95,206.97,1147102,23741326850000.0,10459,1107619,0.9656
2013-02-11,INFRATEL,EQ,206.95,201.15,207.4,201.15,203.2,203.35,204.26,56809,1160390105000.0,4444,34370,0.605
2013-02-12,INFRATEL,EQ,203.35,203.05,204.6,195.0,200.0,200.35,199.68,164404,3282815630000.0,4116,94240,0.5732
2013-02-13,INFRATEL,EQ,200.35,202.65,202.65,194.45,194.5,195.1,196.7,294907,5800962425000.0,18507,229781,0.7792
2013-02-14,INFRATEL,EQ,195.1,195.1,195.55,191.5,191.5,192.8,193.52,192159,3718664954999.9995,16038,144290,0.7509
2013-02-15,INFRATEL,EQ,192.8,192.8,192.8,181.95,187.0,188.15,186.69,891987,16652618010000.0,17806,769554,0.8627
2013-02-18,INFRATEL,EQ,188.15,188.0,192.7,186.7,191.95,191.9,191.35,820340,15697341475000.0,5652,784589,0.9564
2013-02-19,INFRATEL,EQ,191.9,197.25,197.25,190.1,191.0,191.6,191.48,38966,746134640000.0,2030,17695,0.45409999999999995
2013-02-20,INFRATEL,EQ,191.6,193.95,197.0,192.35,195.65,196.05,195.21,214534,4187934629999.9995,5471,143775,0.6702
2013-02-21,INFRATEL,EQ,196.05,196.4,197.0,194.15,194.95,194.8,195.23,217043,4237369460000.0,4223,153796,0.7086
2013-02-22,INFRATEL,EQ,194.8,195.9,195.9,188.0,193.0,191.6,190.41,685089,13044529180000.0,11457,610815,0.8916
2013-02-25,INFRATEL,EQ,191.6,199.0,199.0,188.75,192.95,192.05,192.29,770743,14820524065000.0,9361,698073,0.9057
2013-02-26,INFRATEL,EQ,192.05,191.15,193.5,189.4,192.0,192.05,191.27,324124,6199581290000.0,14498,232702,0.7179000000000001
2013-02-27,INFRATEL,EQ,192.05,196.85,196.85,175.55,183.75,184.55,189.41,1815408,34385567705000.0,15956,1616726,0.8906000000000001
2013-02-28,INFRATEL,EQ,184.55,185.0,194.9,185.0,192.0,191.9,190.87,3208335,61238296179999.99,41977,2646316,0.8248000000000001
2013-03-01,INFRATEL,EQ,191.9,181.0,194.65,181.0,191.1,190.8,190.2,1026599,19525532910000.0,32260,900653,0.8773000000000001
2013-03-04,INFRATEL,EQ,190.8,187.75,192.85,187.75,192.85,192.25,191.42,134278,2570335645000.0,7610,111697,0.8318000000000001
2013-03-05,INFRATEL,EQ,192.25,194.9,196.6,191.05,196.0,195.6,194.17,421920,8192303130000.0,13707,342279,0.8112
2013-03-06,INFRATEL,EQ,195.6,196.55,197.95,194.3,194.35,196.95,196.93,1128179,22217613890000.0,7233,1071301,0.9496
2013-03-07,INFRATEL,EQ,196.95,196.9,197.5,193.1,194.75,195.95,195.85,255566,5005161595000.0,4242,212412,0.8311000000000001
