,Date,Tweets
0,2020-11-25,"#sbin
Today giving nice swing both side..
No need of any other cash stocks today..."
1,2020-11-25,"Buy 1 CURMON #SBIN contracts at 243.45, Sell 2 CURMON #PNB contracts at 31.85. Confidence = 65%, on 2020-11-25::11:26:04"
2,2020-11-25,#SBIN - SBIN LONG - TradingView - https://t.co/iPcsVO0uAM
3,2020-11-25,State Bank India target has been reached #ShortTermCash #CNC #SBIN #StockMarket #NSE #BSE #IndianMarket https://t.co/bldt23zkPM
4,2020-11-25,"Nifty50 trade above 13,100. Nifty Bank 30000+ in gap up opening. #Sensex at 44,742.95 +219.93 . #IndianMarket #Equity #StockMarket  #ONGC #TATAMOTORS #SBIN leads the market."
5,2020-11-25,"#SBIN #RBLBANK #IBULHSGFIN BULLISH, BUY IN DIPS. #frontpage_app"
6,2020-11-24,"#SBIN - Another trade of the day.  

#PriceAction 
#Traders 
#Nifty 
#BankNifty 
#TechnicalAnalysis 
#ChartPattern 
#Stockstwatch 
#Trendlines 
#Breakout 
#Option
#Futures https://t.co/Olom5S0zkI"
7,2020-11-24,"#PSU #Banks Ignored in this  Uptrend rally but I don't think they will be ignored more and will be a new Participate. watch the #Index and wait for the #Harmonic pattern activated above 1661.. Keep an eye on PSU banks

#sbin #bankofbaroda #Banks #BankingSector #Markets #Nifty https://t.co/9zgTpcr87u"
8,2020-11-24,"RT @shivaji_1983: Similarities between 2014 &amp; 2020 setups.

#PSUBANKS

#CANBK 
#BankBaroda 
#SBIN 
#INDIANBANK
#UnionBankofIndia 

All thes…"
9,2020-11-24,#sbin too confirms buy signal @243
10,2020-11-24,"Top 7 Banks in India 

Follow us on @iifsindia

#India #topbanks #iifsindia #HDFCBank #ICICIBank #BandhanBank #StateBankOfIndia #KotakMahindraBank #SBIN #AxisBank #ICICI #InduslndBank #marketcap #sensextoday #financialeducation #equity https://t.co/pOiCTo9uOQ"
11,2020-11-24,"Buy 9 CURMON #BANKBARODA contracts at 46, Sell 4 CURMON #SBIN contracts at 242.15. Confidence = 65%, on 2020-11-24::12:28:04"
12,2020-11-24,"Do u agree for broad based stocks rally #reliance should fall so other stocks will get chance to rally 
@NeerajCNBC @rajeshpalviya @_anishaj 
#sunpharma #drreddy #sbin #nifty #banknifty"
13,2020-11-24,"Buy 9 CURMON #BANKBARODA contracts at 45.95, Sell 4 CURMON #SBIN contracts at 241.9. Confidence = 66%, on 2020-11-24::12:05:04"
14,2020-11-24,"Huge Up move possible in coming days positional traders can buy in cash or option for 1 month time frame.

#Bankbaroda
#DRREDDY 
#SunPharma 
#Recltd 
#ONGC
#SBIN
#PFC
#Torrentpower

My target is minimum 5% in all the above script https://t.co/8J6uESD4eM"
15,2020-11-23,RT @TechnomanThe: SBI Apprentice Recruitment 2020 | Stipend Rs.19000/- | State Bank Of Ind... https://t.co/MPZBQi5ChI via @YouTube #thetech…
16,2020-11-23,State Bank Of India Now on Wave C  - #SBIN chart https://t.co/XJCBT4BGD7
17,2020-11-23,#SBIN &amp; #Axis closed !! https://t.co/yt1Xt0rg2P
18,2020-11-23,#SBIN ABOVE 241.5 SL 239.95 TGT 244/246
19,2020-11-23,#SBIN #artzteam Support and resistance Please plan accordingly.. I squared off all positions.. waiting for opportunity. https://t.co/LrJ424CLjN
20,2020-11-23,"#GraphiteIndia 
#sbin
 few seconds trade
Cash ac upstox
In sbin fut ac already Short done https://t.co/rP0sL4UoDy"
21,2020-11-23,"State Bank India day high is 246.15. waiting for the target
#ShortTermCash #CNC #SBIN #StockMarket #NSE #BSE"
22,2020-11-23,#SBIN long only above 247 ... #frontpage_app https://t.co/GDYa6i65tE
23,2020-11-22,"#sbin enters into MOU
With Luxembourg stock exchange; MOU is intended to promote ESG and green Finance."
24,2020-11-22,#SBIN - State Bank 15Min Chart For intraday - TradingView - https://t.co/Gcj8YanDen
25,2020-11-22,"RT @market_cafe1: Market Cafe Telegram BOT https://t.co/g72pfoyNff , 
 
LIVE DERIVATIVE ANALYSIS ADDED
Check out other menu. Free to use
#n…"
26,2020-11-22,"SBIN still looking positive.

Rally likely to remain continue till 280--290++

so we can go with another bull call spread of the month of December.

#sbin #statebankofindia #banknifty #nifty #Nifty #nifty50 #Stocks #StockMarket https://t.co/VoVTpnSYLl"
27,2020-11-22,"#SBIN #EXPIRY Call &amp; #POSITIONAL Call
#Nifty #OptionsTrading #SwingTrading #StockMarket #StockTrading #StockToWatch #Share #ShareMarket https://t.co/d5k0NLNuyh"
28,2020-11-22,#SBIN - I think there will be resistance around 260 - TradingView - https://t.co/2cWt6PkMHD
29,2020-11-21,SBI Apprentice Recruitment 2020 | Stipend Rs.19000/- | State Bank Of Ind... https://t.co/MPZBQi5ChI via @YouTube #thetechnoman @TechnomanThe #sbi #sbijobs #sbiapprenticerecruitmrnt #sbin #SBI #statebankofindia https://t.co/HYdaPydr8W
30,2020-11-21,#SBIN - Bearish CRAB - TradingView - https://t.co/itYRSgn6uH
31,2020-11-20,"Short Term Cash: State Bank India Ltd
Buy at 242
Target Price 247
#ShortTermCash #CNC #SBIN #StockMarket #NSE #BSE"
32,2020-11-20,"#SBIN - Entered on 5 mins time-frame with #5EMA support and also as there was #50EMA support on 1hr time-frame. Within 15 mins, it gave 5 points.. Being a conservative trader, exited my position as soon as it touched #26EMA resistance. 
#PriceAction 
#Traders 
#Nifty 
#Futures https://t.co/Gg81gbmAtd"
33,2020-11-20,This week 17th Nov to 20th Nov #Dlf #Nifty #banknifty #Reliance #Sbin #lt #bpcl #Naukri https://t.co/3I81gPCmde
