,0
0,2017-01-03
1,2017-01-04
2,2017-01-05
3,2017-01-06
4,2017-01-07
5,2017-01-08
6,2017-01-09
7,2017-01-10
8,2017-01-11
9,2017-01-12
10,2017-01-13
11,2017-01-14
12,2017-01-15
13,2017-01-16
14,2017-01-17
15,2017-01-18
16,2017-01-19
17,2017-01-20
18,2017-01-21
19,2017-01-22
20,2017-01-23
21,2017-01-24
22,2017-01-25
23,2017-01-26
24,2017-01-27
25,2017-01-28
26,2017-01-29
27,2017-01-30
28,2017-01-31
29,2017-02-01
30,2017-02-02
31,2017-02-03
32,2017-02-04
33,2017-02-05
34,2017-02-06
35,2017-02-07
36,2017-02-08
37,2017-02-09
38,2017-02-10
39,2017-02-11
40,2017-02-12
41,2017-02-13
42,2017-02-14
43,2017-02-15
44,2017-02-16
45,2017-02-17
46,2017-02-18
47,2017-02-19
48,2017-02-20
49,2017-02-21
50,2017-02-22
51,2017-02-23
52,2017-02-24
53,2017-02-25
54,2017-02-26
55,2017-02-27
56,2017-02-28
57,2017-03-01
58,2017-03-02
59,2017-03-03
60,2017-03-04
61,2017-03-05
62,2017-03-06
63,2017-03-07
64,2017-03-08
65,2017-03-09
66,2017-03-10
67,2017-03-11
68,2017-03-12
69,2017-03-13
70,2017-03-14
71,2017-03-15
72,2017-03-16
73,2017-03-17
74,2017-03-18
75,2017-03-19
76,2017-03-20
77,2017-03-21
78,2017-03-22
79,2017-03-23
80,2017-03-24
81,2017-03-25
82,2017-03-26
83,2017-03-27
84,2017-03-28
85,2017-03-29
86,2017-03-30
87,2017-03-31
88,2017-04-01
